Career,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10,skill11,skill12,skill13,skill14,skill15,skill16,skill17,skill18,skill19,skill20,skill21,skill22,skill23,skill24,skill25,skill26,skill27,skill28,skill29,skill30,skill31,skill32,skill33,skill34,skill35,skill36,skill37
Cybersecurity Analyst,Cybersecurity, Operating Systems and Networking, Data Analysis and Visualization, Project Management, Cloud Computing, Network Topologies, Network Security, Critical Thinking, Interpersonal Skills, Research on Cyber Security, Research on Block Chain,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Software Quality Testing, House Rules Written in Bangla, Software Testing Related Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge, Video Editing and Annotation, Illustration and Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,problem solvingroyale, database development ,project management, system design, api knowledge, cloud computing, communication, collaboration, interpersonal skills, adaptability, web based project develop, android app develop, ui/ux design, graphic design,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Problem Solving and Analysis, Database Development, Communication, Critical Thinking, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development, Database Development, Problem Solving and Analysis, Critical Thinking, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,System Design, Project Management, Teaching, UI/UX Knowledge, Critical Thinking, Interpersonal Skills, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking,Big Data Technologies, Project Management, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development, Data Analysis and Visualization, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) & Machine Learning, Problem Solving & Analysis, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, Data Engineering, System Design, Cloud Computing, Web based project develop, Android App Develop, Research on Cyber Security, Working with new idea,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,UI/UX Related Job, Graphic Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Cybersecurity, Cryptograph, Network Security, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development, Mobile App Development, Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, Problem solving and analysis, Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Mobile Application Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solving and Analysis, Data Engineering, Artificial Intelligence (AI) and Machine Learning, Data Analysis and Visualization, Critical Thinking, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis, System Design, Cloud Computing, Critical thinking, Interpersonal Skills, adaptability, research on block chain,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Blockchain technology, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Problem Solving and Analysis, Communication, big data technologies, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, API Knowledge, Cloud Computing, Working with Technology and New Idea Generate, Communication, Interpersonal Skills, Web based project develop, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security, Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Problem Solving and Analysis, Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing, Image Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engineering, Data Analysis and Visualization, Cybersecurity, Database Development, Data Analysis and Visualization, Problem Solving and Analysis, Operating Systems and Networking, Software Quality Testing, API Testing, Performance Testing, IT Competitive Analytics, Communication, Critical Thinking, Interpersonal Skills, Adaptability,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,UI/UX Knowledge, Graphic Design, Video Editing and Animation, Illustration and Design, Website Build and Publish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature engineering, Data engineering, Statistics, Human Resource Development, Search Engine Optimization (SEO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Data Engineering, Feature Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Network Security, Web based project develop, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Network Topologies, Network Security, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solving and Analysis, Data Engineering, Data Analysis and Visualization, Critical Thinking, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Communication, Critical Thinking, Adaptability, Working with new idea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, ProblemSolving and Analysis, Robotics Knowledge, System Design, API Knowledge, Critical Thinking, Adaptability, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Robotics Knowledge, Internet of Things, Cloud Computing, Critical Thinking, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solving and Analysis, Data Engineering, Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Operating Systems and Networking, Database Development, Data Analysis and Visualization, Big Data Technologies, Data Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Blockchain, Cybersecurity, Cryptograph, Network Security, Network Topologies, Operating Systems and Networking, Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,System Design, Project Management, Teaching, UI/UX Knowledge, Android App Develop, Software Testing Related Work, Robotics Knowledge, Search Engine Optimization (SEO), Uxatie Desktop Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, Cybersecurity, Database Development, Network Security, Problem Solving and Analysis, Artificial Intelligence (AI) and Machine Learning, Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI), Deep Learning, Machine Learning, Image Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solving and Analysis, Data Engineering, Data Analysis and Visualization, Critical Thinking, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Web development, Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Data analysis and visualization, Network security, Communication, Critical thinking, Artistic handling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile Application Development, Game Development, Database Development, System Design, API Testing, API Knowledge, Website Builders, Social Media Management, Event Planning, Video Editing, Content Writing and Blogging, Photography Studio, Panel of Moderators, System design, Computer Network,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development, Problem Solving and Analysis, Project Management, Interpersonal Skills, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Database Development, Network Security, ProblemSolving and Analysis, Project Management, Specification Writing, Illustration & Design, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,
UX/UI Designer,Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Cybersecurity, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Working with Technology and New Idea Generate, Communication, Interpersonal Skills, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Project Management, Research on Artificial Intelligence and Machine learning, Implementing Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Data Analysis and Visualization, Network Security, Communication, Critical Thinking, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Web development, Android application develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solving & Analysis, Database Development, Communication, Data Engineering, Data Analysis andvisualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Topologies, Network Security, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Develop, Cassandra Consult, Software Development and Business Modeling, UI/UX Knowledge, Graphical Usersestimateqrconcil.org, Android App Develop, Creative Working Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Statistic Analysis, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Feature Engineering, Big Data Technologies, Robotics Knowledge, Internet of Things, Work with Robotics, Working with IoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Blockchain, ArtificialIntelligence (AI), Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualization, Cryptograph, Problem Solving and Analysis, Cloud Computing, Project Management, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Web based project develop, Software Testing Related Work, working with new idea,,,,,,,,,,,,,,,,,,
Cloud Engineer,Cloud Computing, Network Security, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development, ProblemSolvingandViewPointHolding, Graphicdesign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Cybersecurity, Net Ops, API Testing, API Knowledge, Project Management, Web based projects develop, Software Quality Assurance, System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Blockchain, Security, Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Data Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Analysis and Visualization, Cybersecurity, Cryptograph, Network Security, Network Topologies, Problem Solving and Analysis, Operating Systems and Networking, Data Structure, Cloud Computing, Adaptability,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile Application Development, Machine Learning, Data Analysis and Visualization, Cybersecurity, Database Development, Problem Solving and Analysis, Operting Systems and networking, System Design, Data Structure, Project Management, Illustrator and Adobe Designers,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Problem Solving and Analysis, Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Cryptograph, Database Development, Network Security, Problem Solution, Communication, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Data Engineering, Statistics, Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Problemsolving and communicatin, designing and developing artificial intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Operating Systems and Networking, Network Security, Network topologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Engineering, Statistical Analysis, Data Sciences, Data Analysis and Visualisation, Cybersecurity, Research on Artificial Intelligence and Machine learning, Image Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Big Data Technologies, Data Engineering, Problem Solving, Communication, Critical Thinking, Interpersonal Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI), Deep Learning, Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem Solving and Analysis, Database Development, Communication, Data Engagement, Data Visualization, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Operating Systems and Networking, Network Topologies, Project Management, Cloud Computing, Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Game Development, Problem Solving and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Cybersecurity, Robotics Knowledge, Internet of Things, Artificial Intelligence (AI) and Machine Learning, Project Management, Database Development, Search Engine Optimization (SEO), Social Media Management, Research on Cyber Security, Artificial Intelligence and Machine learning, Web Based Project Develop,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Cryptograph, Cloud Computing,Network topologies,Network security,Speciialized Computer Support,Contemporary Blockchain technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Operating Systems and Networking, Data Analysis and Visualization, Project Management, Cloud Computing, Networktopliars, Collaborative Working, Interpersonal Skills, Adaptability, Research on Cyber Security, Study on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Devolopmental Process, Software Testing Related Work, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Feature Engineering, Big Data Technologies, Robotics Knowledge, Critical Thinking, Interpersonal Skills, Adaptability, Image Recognition, Data Analysis and Visualization, IBM Watson, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,System design, web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Big Data Technologies, Cloud Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Blockchain, Artificial Intelligence (AI), Network Security, System Design, Robotics Knowledge, API Knowledge, Interpersonal Skills, Screenwriting, Video Editing, Directing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, API Testing, ARington, Question Answering, Browser Testing, Software Quality Assurance, Performance Testing, Search Engine Ranking, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Artificial Intelligence (AI) and Machine Learning, Deep Learning, Problem Solving and Analysis, Cybersecurity, Cryptographic Mechanisms, Database Development, Data Analysis and Visualization, Big Data Technologies, Data Engineering, Statistical Analysis, Robotics Knowledge, Internet of Things, Project Management, Social Media Manage, Working with Technology and New Idea Generate, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing, Web based project develop, Working with Robotics, Working with IoT, Image Processing, Working with new idea,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Database Development, Communication, Critical Thinking, Interpersonal Skills, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Operating Systems and Networking, Computer Network, Artificial Intelligence and Machine learning, Blockchains, Negotiation, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Engineering, Data Analysis and Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Statistical Analysis, Data Analysis and Visualization, Data Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Science, Data Analysis and Visualization, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Robotics Knowledge, System Design, API Knowledge, Critical Thinking, Adaptability, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Operating Systems and Networking, Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Data Analysis and Visualization, Problem Solving and Analysis, Cybersecurity, Operating systems and networking, Big Data Technologies, Project Management, Adaptability, Search Engine Optimization (SEO), Work with new idea,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, UI/UX Knowledge, Video Editing and Animation, Illustration and Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Feature Engineering, Statistical Analysis, Data Analysis and Visualization, Critical Thinking, Artificial Intelligence and Computers, Communication, Data Engolation, Big Data Technologies, Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Problem Solving and Analysis, Cybersecurity, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Creating Quran Reciters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Deep Learning, Big Data Technologies, Data Engineering, Cloud Technology, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Blockchain, Cybersecurity, Cryptograph, Network Security, Network Topologies, Operating Systems and Networking, Cloud Computing, Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Network Security, Problem Solving and Analysis, Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Statistical Analysis, Data Analysis and Visualization, Data Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Web development, Android app develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Database Development, Robotics Knowledge, Data Structure, Cloud Computing, Project Management,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Game Development, Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Feast Learning, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Cybersecurity, Cryptographic Tools, API Testing, Pull Request Review Bot, PR System, Web based project develop, Android App Develop,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Critical Thinking, Interpersonal Skills, Feature Engineering, Statistical Analysis, Database Development, Big Data Technologies, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Problem Solving and Analysis, Data Structure, Communication, Critical Thinking, Interpersonal Skills, Research On Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,System Design, Website Development, Web basedproject develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Robotics Knowledge, Internet of Things, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, UI/UX Knowledge, Android App Develop, Software Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Operating Systems and Networking, Computer Network, Artistic Expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Project Management, Cloud Computing, Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Problem solving, data engineering, dataset analysis, data featureteng,data flowchart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and machine learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Feature Engineering, System Design, Software Quality Testing, Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App Developer,Mobile App Development, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Problem Solving & Analysis, Cybersecurity, Operating Systems and Networking, Cryptograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Robotics Knowledge, Internet of Things, Cloud Computing, Critical Thinking, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,System Design, Project Management, Teaching, UI/UX Knowledge, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Software Quality Assurance, Api testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development, Data Analysis and Visualization, Big Data Technologies, Data Engineering, Problem Solving, Feature engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Game Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Database Development, Network Security, Data Structure, Communication, Software Development, Cybersecurity, Operating Systems and Networking,,,,,,,,,,,,,,,,,,,,,,,,,,,
